team,seed,region,adj_off,adj_def,adj_tempo,net_rating,eFG,opp_eFG,to_rate,forced_to_rate,orb_rate,drb_rate,ft_rate,opp_ft_rate,fg3_rate,opp_fg3_rate,stl_rate,opp_stl_rate
Eastern Michigan,,,101.923,108.309,66.5844,-6.38641,49.5702005730659,50.2545248868778,17.4186524736906,15.580016934801,27.8095238095238,70.9345794392523,29.3409742120344,35.5203619909502,31.8051575931232,35.6334841628959,0.0832224507076328,0.0953187371476957
Eastern Washington,,,113.103,113.104,67.7371,-0.000387539,53.7277147487844,54.907306434024,17.6819940610096,16.1972464681004,31.2681510164569,69.1699604743083,36.0886007563479,37.2955288985823,34.7379794705565,39.0403489640131,0.0845856204445244,0.106181949068658
Elon,,,110.09,115.823,66.8795,-5.73284,52.2005571030641,53.9598438371444,15.9307735476746,16.4135242612405,32.1828358208955,66.4756446991404,33.5376044568245,34.6346904629113,43.2311977715877,44.5064138315672,0.0960673919996138,0.0941363891453502
Evansville,,,101.942,114.791,67.0477,-12.8493,49.2682926829268,55.0568181818182,19.0851164302492,15.4054667329004,22.0355731225296,69.77687626774849,29.7560975609756,31.4204545454545,43.109756097561,43.1818181818182,0.0731023739873297,0.111370730839757
Fairfield,,,105.821,113.926,67.0081,-8.10506,48.784046692607,50.9952854897852,15.3438588005017,16.8287483618406,35.7594936708861,70.859167404783,27.6750972762646,30.3823991618648,35.408560311284,35.9350445259298,0.0958428716864183,0.0868435410116373
Fairleigh Dickinson,,,100.829,118.46,63.9281,-17.631,47.1428571428571,55.1712992889464,18.1464158821286,16.1123043673177,31.957773512476,72.65625,32.7950310559006,36.2637362637363,45.1552795031056,40.530058177117,0.0749409505456638,0.0979585282132605
Florida A&M,,,97.9116,110.931,68.3078,-13.0199,49.2317148125384,51.183970856102,21.5413547607127,19.1478708984113,30.7845084409136,69.120654396728,37.4308543331285,39.6478445658773,37.6767055931162,34.4262295081967,0.114789532171598,0.124558854058543
Florida Atlantic,,,109.634,106.321,69.6875,3.31231,52.2180652057723,49.4906166219839,17.6141457933743,15.4804734936614,31.5695067264574,71.72774869109949,33.2977017637627,36.1930294906166,38.161411010155,35.2278820375335,0.0803531908615269,0.106229642155917
Florida Gulf Coast,,,105.579,112.179,67.6106,-6.59985,51.9877675840979,53.4127843986999,15.915682647547,16.4968733060248,31.1033883579496,71.7948717948718,29.0519877675841,38.2990249187432,38.3792048929664,46.1538461538462,0.109532085636208,0.0916492961445824
Florida International,,,107.434,109.657,71.6326,-2.22286,50.5675368898978,52.8538812785388,17.7236750421354,20.0106008540239,33.9252336448598,65.18026565464899,38.5925085130533,35.9018264840183,32.7468785471056,45.148401826484,0.121492933756573,0.111011190452085
Florida State,,,118.431,104.935,70.5071,13.4961,52.3170731707317,52.2332506203474,15.2296577545747,18.984337921215,30.7692307692308,65.9395973154362,34.6829268292683,32.7047146401985,50.5853658536585,44.863523573201,0.110109159943047,0.093656067077994
Fordham,,,104.614,104.156,64.4418,0.457711,48.6111111111111,49.937343358396,17.1865646824077,17.239773860991,34.1107871720117,73.1117824773414,26.4184397163121,30.2631578947368,38.2978723404255,42.3558897243108,0.10801463252411,0.0893914200199534
Fresno State,,,107.434,104.361,68.2471,3.07272,50.6211180124224,51.4929424538545,18.1401676802679,18.2331941811924,27.8564683663834,69.43430656934311,33.8226990400903,28.6102062975027,40.9373235460192,43.9739413680782,0.0962824284568066,0.106980476063118
Gardner-Webb,,,95.5753,121.995,69.2665,-26.4199,47.7738722905682,56.9474248927039,19.8273933571168,15.3061825203396,23.1763619575254,63.4335596508244,30.2870533099004,35.2467811158798,39.8359695371998,40.9871244635193,0.0861855815760658,0.116797946616745
George Mason,,,113.086,105.618,63.4085,7.46798,53.0630630630631,49.3760635280771,15.881510983882,15.6325844794324,31.055900621118,71.651376146789,41.1411411411411,28.644356211004,35.4354354354354,42.7112875779921,0.0766693633704649,0.0950899246997324
George Washington,,,117.571,107.952,69.2123,9.61911,54.6463603510583,52.2554347826087,17.918178837208,17.8292548727554,36.234458259325,71.8606782768103,35.5188435725348,34.945652173913,46.7217346411977,43.2065217391304,0.103596418587332,0.112044195210333
Georgetown,,,114.63,103.737,66.2381,10.893,49.6452103395844,49.9497739829232,15.7594833667987,16.2370434688229,32.5403568394223,68.5383980181668,37.2529143436391,33.9025615268709,35.1748606183477,41.2355600200904,0.0955120204048407,0.0916047104791882
Georgia Southern,,,110.212,116.262,70.1302,-6.04971,51.39545884579,52.3328523328523,14.6393372517429,18.7765412576702,28.7901990811639,64.81033091202579,39.6404919583728,41.3660413660414,48.9120151371807,39.4901394901395,0.112977494008016,0.0903024335909141
Georgia State,,,99.3552,112.301,67.8852,-12.9454,44.1867124856816,50.6117908787542,15.9282744972638,16.3626819835529,27.6991150442478,66.3577386468953,37.1706758304696,34.9276974416018,42.4398625429553,39.0433815350389,0.0975003469226453,0.0863988222730372
Georgia Tech,,,107.701,107.112,70.7365,0.589101,50.0,49.9223200414293,18.6241676623865,15.5724968165015,29.94555353902,69.3480101608806,33.3153055705787,34.2309684101502,33.1530557057869,44.3811496633868,0.0843697233862327,0.112642556223109
Grambling,,,96.885,108.657,67.6388,-11.7716,48.8073941562314,50.0,21.2112754674853,20.7926318727323,30.2912621359223,67.5337186897881,41.1449016100179,40.0,38.1633870005963,35.1603498542274,0.110242813284957,0.122336961577821
Grand Canyon,,,111.017,97.8255,68.0469,13.1915,51.6776677667767,47.4438202247191,17.6416179755003,17.3257833825885,31.3390313390313,74.6618575293057,39.4939493949395,38.9887640449438,38.8888888888889,38.2022471910112,0.095201570149119,0.0929456087711778
Green Bay,,,112.571,116.05,62.9359,-3.47923,54.8977061376317,53.5857716580608,15.9726042638941,13.1539093937952,25.0825082508251,70.4031465093412,41.5995040297582,37.4067699368904,37.2597644141352,43.3161216293746,0.0647805312250814,0.0939564956699654
Hampton,,,102.474,111.672,65.3977,-9.19771,45.684086905461,52.0075282308657,17.0371623102893,17.1874902130272,32.8840970350404,69.9588477366255,39.2248972401644,46.4868255959849,37.0522607163829,33.6260978670013,0.0947065787248436,0.0932032996974651
Harvard,,,106.63,105.418,63.0423,1.21217,53.1901041666667,50.4142766093053,17.431116749869,17.1001461786689,26.8292682926829,71.830985915493,25.7161458333333,26.5774378585086,40.1692708333333,38.6870618228171,0.110323523733348,0.102049259453347
Holy Cross,,,100.841,117.274,65.5996,-16.4333,49.7939964685109,54.7699214365881,15.296554598159,14.0708691335629,21.8595450049456,73.0030333670374,31.489111241907,27.5533108866442,37.2572101236021,39.0011223344557,0.0828563374066947,0.0965840146101707
Houston Christian,,,102.897,114.031,64.4517,-11.1345,49.7183979974969,54.2291541691662,18.8546811511143,17.5667930943442,29.8896690070211,67.51054852320681,35.982478097622,30.7138572285543,36.4831038798498,37.372525494901,0.097879492314528,0.106121975877857
IU Indianapolis,,,105.461,119.347,73.2656,-13.8854,52.2018802572984,58.2156973461321,15.8585137073152,19.1808280314734,28.6719437115215,64.44906444906451,21.6724393864424,46.583850931677,42.10786739238,35.742518351214,0.105871083129842,0.101441330697631
Idaho State,,,109.53,116.607,65.5606,-7.07705,51.8496420047733,54.4780545670225,16.9881875139298,14.709888313811,32.7800829875519,72.17962760131431,37.9474940334129,37.9596678529063,41.8854415274463,36.9513641755635,0.0767687773953097,0.102028181570541
Illinois State,,,110.576,103.908,66.7396,6.66872,53.5934868051656,49.9714122355632,16.8276943919569,16.3523357933141,28.6407766990291,74.7427502338634,31.8360471645143,33.1046312178388,42.4480628860191,34.5340194396798,0.0836631133611418,0.0884166993475703
Incarnate Word,,,108.808,117.294,65.5464,-8.48619,50.2212389380531,54.4613350958361,17.1500355016658,15.6753509203124,32.1243523316062,67.9678530424799,34.007585335019,41.6391275611368,39.0644753476612,35.3602115003305,0.0781036648642744,0.0928505106778087
